"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to partially update a booking and verify the response.","1177","Test Partial Update Booking","","Thu Jul 25 03:53:35 AMT 2024","passed","Thu Jul 25 03:53:36 AMT 2024","","Partial Update Booking Suite","",""
"Test to verify response when partially updating a booking with an invalid token.","1007","Test Negative Partial Update Booking with Invalid Token","","Thu Jul 25 03:53:36 AMT 2024","passed","Thu Jul 25 03:53:37 AMT 2024","","Partial Update Booking Suite","",""
"Test to verify response when partially updating a booking without a token.","828","Test Negative Partial Update Booking without Token","","Thu Jul 25 03:53:37 AMT 2024","passed","Thu Jul 25 03:53:38 AMT 2024","","Partial Update Booking Suite","",""
"This test checks the health of the API by calling the /ping endpoint.","894","Health Check Endpoint Test","","Thu Jul 25 03:53:29 AMT 2024","passed","Thu Jul 25 03:53:30 AMT 2024","","Ping Tests","",""
"Test to create authentication token for booking API.","813","Test Booking Token Creation","","Thu Jul 25 03:53:30 AMT 2024","passed","Thu Jul 25 03:53:31 AMT 2024","","Create Token Booking Suite","",""
"Test to create a booking and verify the response.","921","Test Create Booking","","Thu Jul 25 03:53:31 AMT 2024","passed","Thu Jul 25 03:53:32 AMT 2024","","Create Booking Suite","",""
"This test fetches a booking by ID and verifies the response.","655","Get Booking By ID Test","","Thu Jul 25 03:53:32 AMT 2024","passed","Thu Jul 25 03:53:33 AMT 2024","","GET Booking Suite","",""
"Test to delete a booking by ID and verify the response.","811","Test Delete Booking by ID","","Thu Jul 25 03:53:38 AMT 2024","passed","Thu Jul 25 03:53:39 AMT 2024","","Delete Booking Suite","",""
"This test fetches all bookings and verifies the response.","764","Get All Bookings Test","","Thu Jul 25 03:53:32 AMT 2024","passed","Thu Jul 25 03:53:32 AMT 2024","","GET Booking Suite","",""
"Test to verify response when updating a booking with an invalid token.","810","Test Negative Update Booking","","Thu Jul 25 03:53:34 AMT 2024","passed","Thu Jul 25 03:53:35 AMT 2024","","Update Booking Suite","",""
"Test to update a booking and verify the response.","920","Test Update Booking","","Thu Jul 25 03:53:33 AMT 2024","passed","Thu Jul 25 03:53:34 AMT 2024","","Update Booking Suite","",""
